agent,density,scenario,seed,success_rate,safe_success_rate,collision_per_episode,avg_episode_length,avg_jerk,avg_min_dist,freezing_rate,num_episodes
PSS_Social,11,random,10,1.0,0.95,0.09,23.9,0.4017126726938257,0.36622349798679354,0.006276150627615063,100
PSS_Social,11,random,123,1.0,0.98,0.04,21.11,0.43399348592988624,0.37034666031599045,0.0047370914258645196,100
PSS_Social,11,random,42,1.0,0.97,0.05,21.51,0.487572618828735,0.3690764036774635,0.0018596001859600185,100
PSS_Social,11,random,456,1.0,0.93,0.1,23.17,0.3817765389614893,0.37002299934625626,0.002589555459646094,100
PSS_Social,11,random,9,1.0,0.98,0.02,28.26,0.3312780074006519,0.37552420765161515,0.006723283793347488,100
SFM,11,random,42,0.42,0.42,0.0,80.67,0.0826308611292882,0.41193807631731033,0.08454196107598859,100
SFM,11,random,123,0.5,0.49,0.06,75.94,0.08871048384351275,0.3982241228222847,0.06254938109033448,100
SFM,11,random,456,0.47,0.47,0.11,76.99,0.07985353313080758,0.4147723740339279,0.056111183270554615,100
SFM,11,random,9,0.36,0.35,0.09,84.14,0.07513762613058234,0.41466178864240644,0.08747325885429047,100
SFM,11,random,10,0.41,0.4,0.01,80.14,0.08726398627685465,0.39049788177013395,0.07174943848265536,100
ORCA,11,random,42,1.0,0.91,0.19,36.87,0.06764900065773391,0.3501829481124878,0.014374830485489558,100
ORCA,11,random,123,1.0,0.93,0.2,33.84,0.06843343392588856,0.3498249936103821,0.012115839243498818,100
ORCA,11,random,456,1.0,0.98,0.07,33.49,0.06899057866356136,0.3636784729361534,0.01015228426395939,100
ORCA,11,random,9,1.0,0.97,0.06,37.15,0.06712502001356599,0.3544029541313648,0.01641991924629879,100
ORCA,11,random,10,1.0,0.97,0.04,32.8,0.07026241127919572,0.34795760408043863,0.010060975609756098,100
SARL,11,random,10,1.0,0.44,2.13,24.18,0.04910510801790544,0.2907273358106613,0.00041356492969396195,100
SARL,11,random,123,0.98,0.49,1.88,25.55,0.04716195501102601,0.30581506609916687,0.024657534246575342,100
SARL,11,random,42,0.96,0.42,2.31,33.3,0.04380613348443903,0.2918246019631624,0.01951951951951952,100
SARL,11,random,456,0.99,0.53,1.46,25.06,0.04876354315182881,0.30653725914657115,0.003591380686352753,100
SARL,11,random,9,0.93,0.47,2.08,36.88,0.03449543549509058,0.2985309588164091,0.07293926247288503,100
DS_RNN,11,random,10,0.98,0.5,1.78,28.04,0.047704449816387884,0.29726557433605194,0.007845934379457917,100
DS_RNN,11,random,123,0.97,0.55,1.82,29.9,0.04671922563077724,0.306096908301115,0.04414715719063545,100
DS_RNN,11,random,42,0.99,0.33,2.61,28.49,0.05777469829959778,0.26251579836010935,0.00702000702000702,100
DS_RNN,11,random,456,0.98,0.43,1.73,28.54,0.04411717619627803,0.29699007503688335,0.008759635599159075,100
DS_RNN,11,random,9,0.98,0.37,2.34,25.07,0.05698627833593103,0.2851763029396534,0.009573195053849222,100
LSTM_RL,11,random,10,1.0,0.91,0.16,23.68,0.28317669641252813,0.3631403675675392,0.002533783783783784,100
LSTM_RL,11,random,123,1.0,0.92,0.16,20.28,0.47414585479720656,0.35799258813261986,0.0014792899408284023,100
LSTM_RL,11,random,42,1.0,0.88,0.19,22.4,0.47534905022889307,0.35313442200422285,0.0008928571428571428,100
LSTM_RL,11,random,456,1.0,0.93,0.14,20.84,0.5248607384467655,0.36764739468693736,0.0009596928982725527,100
LSTM_RL,11,random,9,1.0,0.92,0.16,21.76,0.47917574860006645,0.3551367154717445,0.0013786764705882354,100
PSS_Social,13,random,10,1.0,0.97,0.03,27.43,0.4167561898218708,0.3718032771348953,0.006562158220925993,100
PSS_Social,13,random,123,1.0,0.94,0.08,25.66,0.4715415950409844,0.3581155240535736,0.0027279812938425566,100
PSS_Social,13,random,42,1.0,0.95,0.07,20.72,0.5069606441798531,0.3616386884450912,0.0009652509652509653,100
PSS_Social,13,random,456,1.0,0.97,0.04,25.77,0.3974983599202367,0.3724586221575737,0.006596818005432673,100
PSS_Social,13,random,9,1.0,0.94,0.08,28.38,0.3696740528434608,0.3593518501520157,0.005990133897110641,100
SFM,13,random,42,0.43,0.42,0.07,79.85,0.09983512584556214,0.39953705996274946,0.07814652473387602,100
SFM,13,random,123,0.42,0.41,0.12,83.96,0.10561405347778326,0.3966418755054474,0.05800381133873273,100
SFM,13,random,456,0.44,0.43,0.02,80.41,0.0897863700739543,0.39602428138256074,0.06976744186046512,100
SFM,13,random,9,0.41,0.41,0.0,81.14,0.09908272861308683,0.3895953440666199,0.061498644318461915,100
SFM,13,random,10,0.44,0.44,0.06,81.0,0.10083099499956416,0.39049056559801104,0.05802469135802469,100
ORCA,13,random,42,1.0,0.94,0.16,35.33,0.07671199517556074,0.35585435658693315,0.01613359750919898,100
ORCA,13,random,123,0.99,0.95,0.09,35.36,0.07345356142145539,0.3511712366342545,0.012443438914027148,100
ORCA,13,random,456,1.0,0.96,0.09,33.21,0.07896633230120342,0.35693040043115615,0.014453477868112014,100
ORCA,13,random,9,1.0,0.96,0.08,36.97,0.06969783691787249,0.3469667264819145,0.007844197998377062,100
ORCA,13,random,10,0.99,0.88,0.21,39.47,0.07915098279614907,0.34729683339595796,0.01950848745882949,100
SARL,13,random,10,0.98,0.44,2.24,27.99,0.048263484370628516,0.2841284380108118,0.013933547695605574,100
SARL,13,random,123,0.99,0.33,2.35,27.2,0.05616158608081466,0.26667763784527776,0.019852941176470587,100
SARL,13,random,42,1.0,0.39,2.24,23.54,0.04315270458454697,0.28411892712116243,0.001274426508071368,100
SARL,13,random,456,1.0,0.45,2.12,22.97,0.05316524870889105,0.29369862720370293,0.0021767522855899,100
SARL,13,random,9,0.97,0.35,2.35,29.38,0.04628921905454541,0.2804562447592616,0.016337644656228726,100
DS_RNN,13,random,10,0.96,0.45,1.79,30.76,0.048914906866709205,0.29991956129670144,0.0055266579973992196,100
DS_RNN,13,random,123,0.97,0.37,2.34,30.02,0.0513263715718502,0.28292476288974283,0.006329113924050633,100
DS_RNN,13,random,42,0.98,0.39,2.23,23.96,0.06378275473219279,0.28096782967448236,0.017111853088480802,100
DS_RNN,13,random,456,0.96,0.41,2.1,27.9,0.04368833561683659,0.2925082552433014,0.01863799283154122,100
